time,header_stamp_secs,header_stamp_nsecs,header_frame_id,status_status,status_service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
2026/02/13 16:08:12.270475959,143,700000000,gnss_link,1,1,55.86728198561389,37.69104978531556,150.2070434372872,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:12.579182336,143,800000000,gnss_link,1,1,55.86728192428199,37.691048372819274,150.20704629644752,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:12.895083228,143,900000000,gnss_link,1,1,55.86728185843336,37.69104696824967,150.20708922948688,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:13.186594337,144,0,gnss_link,1,1,55.86728177932924,37.6910456005976,150.20706165581942,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:13.466605770,144,100000000,gnss_link,1,1,55.86728169844369,37.691044248110096,150.2070052465424,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:13.754565061,144,200000000,gnss_link,1,1,55.867281617232194,37.69104289565264,150.2070438861847,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:14.40584226,144,300000000,gnss_link,1,1,55.86728153704438,37.69104154302111,150.20697770360857,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:14.314634891,144,400000000,gnss_link,1,1,55.86728145538206,37.691040190683,150.206847185269,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:14.588970396,144,500000000,gnss_link,1,1,55.86728137417733,37.69103883818221,150.20692503172904,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:14.858942133,144,600000000,gnss_link,1,1,55.86728129331668,37.69103748565106,150.20708873774856,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:15.122437094,144,700000000,gnss_link,1,1,55.867281202266454,37.69103596261127,150.206771989353,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:15.369502928,144,800000000,gnss_link,1,1,55.86728110711442,37.69103437520564,150.20707285404205,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:15.616195464,144,900000000,gnss_link,1,1,55.867281011785366,37.691032787961554,150.2069992115721,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
