time,header_stamp_secs,header_stamp_nsecs,header_frame_id,status_header_stamp_secs,status_header_stamp_nsecs,status_header_frame_id,status_satellites_used,status_satellites_visible,status_status,status_motion_source,status_orientation_source,status_position_source,latitude,longitude,altitude,track,speed,climb,pitch,roll,dip,time,gdop,pdop,hdop,vdop,tdop,err,err_horz,err_vert,err_track,err_speed,err_climb,err_time,err_pitch,err_roll,err_dip,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
2026/02/13 16:07:21.965701001,112,100000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.139414479207925,3.0200758523532685e-12,-5.727307528350261e-14,0.0,0.0,0.0,2026/02/13 16:07:21.965701001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:22.73590541,112,200000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.1349306305414646,3.0005049908327047e-12,-9.470204266121526e-14,0.0,0.0,0.0,2026/02/13 16:07:22.73590541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:22.177232114,112,300000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.1394166269363954,3.020076509977294e-12,-5.727898826194385e-14,0.0,0.0,0.0,2026/02/13 16:07:22.177232114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:22.284773891,112,400000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,-3.134728735776203,2.964934548991198e-12,-4.7067520703396106e-14,0.0,0.0,0.0,2026/02/13 16:07:22.284773891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:22.397845759,112,500000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.139417339581262,3.0200760468543557e-12,-5.727272573672282e-14,0.0,0.0,0.0,2026/02/13 16:07:22.397845759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:22.502287859,112,600000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.134930205397473,3.0005072504408466e-12,-9.470049311947173e-14,0.0,0.0,0.0,2026/02/13 16:07:22.502287859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:22.613487670,112,700000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.139413622375241,3.02007121403936e-12,-5.725878150900226e-14,0.0,0.0,0.0,2026/02/13 16:07:22.613487670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:22.719788040,112,800000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.13941544719014,3.020077018450052e-12,-5.728207051861594e-14,0.0,0.0,0.0,2026/02/13 16:07:22.719788040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:22.835675888,112,900000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,-3.134730118186345,2.9649362477542377e-12,-4.705227213709821e-14,0.0,0.0,0.0,2026/02/13 16:07:22.835675888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:22.938389560,113,0,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.139417210265988,3.0200781451319007e-12,-5.728229256322199e-14,0.0,0.0,0.0,2026/02/13 16:07:22.938389560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
